,,Frete,,,Fob sp,,,1990.00,,,"0,00",,,Cif,,
,,Local de entrega,,,null,,,null,,,null,,,Obra 17 linha ouro - (diversos),,
,,Prazo de entrega,,,null,,,null,,,null,,,1 a 2 dias,,
,,Prazo para troca,,,null,,,null,,,7 dias,,,null,,
,,Prazo para utilização de créditos,,,null,,,null,,,90 dias,,,null,,
,,Validade da proposta,,,10 dias,,,20/12/2023,,,01/04/2025,,,10 dias,,

Quadro de sócios e administradores,,,,,,,,,,,,,,,,
Este CNPJ tem sócio em comum com outro CNPJ ?,,,,,Não,,,,,,Não,,,Não,,
,,,,,"Bruno Romeiro Bracetti, Sócio-administrador",,,null,,,"Fabiano Carrieri, Sócio-administrador",,,"Admir Nava Ferreira, Sócio-administrador",,
,,,,,,,,,,,"Jose Carlos Carrieri, Sócio-administrador",,,,,

*******IGNORE ESTA PARTE DO RELATORIO (ela sera eventualmente consultada pelos desenvolvedores deste aplicativo para esclarecer duvidas sobre o comportamento da IA) ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Produto 1,,,,,,,,,,,,,,,,
Descrição do produto demandado na requisição de compra,,,,,Descrição: Argamassa/Rejunte Industrializado; Produto: Argamassa Assentamento; Fabricante: Ecomix; Referencia: Abnt Nbr 14725:2012; Cor: Cinza; Apresentacao: 50 Kg,,,Descrição: Argamassa/Rejunte Industrializado; Produto: Argamassa Assentamento; Fabricante: Ecomix; Referencia: Abnt Nbr 14725:2012; Cor: Cinza; Apresentacao: 50 Kg,,,Descrição: Argamassa/Rejunte Industrializado; Produto: Argamassa Assentamento; Fabricante: Ecomix; Referencia: Abnt Nbr 14725:2012; Cor: Cinza; Apresentacao: 50 Kg,,,Descrição: Argamassa/Rejunte Industrializado; Produto: Argamassa Assentamento; Fabricante: Ecomix; Referencia: Abnt Nbr 14725:2012; Cor: Cinza; Apresentacao: 50 Kg,,
Descrição do produto oferecido na proposta (que a IA associou a este produto demandado),,,,,Argamassa Ecomix 50 Kg,,,Votomassa Multiplo Uso 50Kg,,,,,,Argamassa Colante Assentamento,,
Raciocinio usado pela IA para associar este produto demandado com este produto oferecido,,,,,"A associação foi feita com base na semelhança do fabricante ('Ecomix'), tipo de produto ('Argamassa') e apresentação ('50 Kg').",,,A associação foi feita com base na similaridade do tipo de produto ('ARGAMASSA ASSENTAMENTO' vs 'VOTOMASSA MULTIPLO USO') e na apresentação (50KG). A quantidade ofertada (800 SC = 40.000 KG) é diferente da demandada (150.000 KG).,,,,,,"A associação foi feita com base na correspondência do fabricante (ECOMIX) e do tipo de produto (ARGAMASSA ASSENTAMENTO). A quantidade demandada de 150.000 KG é equivalente a 3.000 sacos de 50 KG, o que corresponde à quantidade ofertada de 3.000 unidades.",,
Semelhança entre o produto demandado e o produto oferecido,,,,,60%,,,42%,,,,,,71%,,
Quantidade demandada na requisicao de compra,,,,,150000,,,150000,,,150000,,,150000,,
Quantidade oferecida na proposta,,,,,3000.0,,,800.0,,,,,,3000.0,,
Unidade da quantidade demandada na requisicao de compra,,,,,KG,,,KG,,,KG,,,KG,,
Unidade da quantidade oferecida na proposta,,,,,,,,,,,,,,,,
Preço unitario oferecido na proposta,,,,,36.91,,,29.9,,,,,,28.0,,
Posição em que o produto aparece na proposta,,,,,1,,,1,,,,,,1,,
,,,,,,,,,,,,,,,,
Produto 2,,,,,,,,,,,,,,,,
Descrição do produto demandado na requisição de compra,,,,,Descrição: Argamassa/Rejunte Industrializado; Produto: Argamassa Colante; Fabricante: Construcola; Referencia: Int/Ext Aciii; Cor: Cinza; Apresentacao: 20 Kg,,,Descrição: Argamassa/Rejunte Industrializado; Produto: Argamassa Colante; Fabricante: Construcola; Referencia: Int/Ext Aciii; Cor: Cinza; Apresentacao: 20 Kg,,,Descrição: Argamassa/Rejunte Industrializado; Produto: Argamassa Colante; Fabricante: Construcola; Referencia: Int/Ext Aciii; Cor: Cinza; Apresentacao: 20 Kg,,,Descrição: Argamassa/Rejunte Industrializado; Produto: Argamassa Colante; Fabricante: Construcola; Referencia: Int/Ext Aciii; Cor: Cinza; Apresentacao: 20 Kg,,
Descrição do produto oferecido na proposta (que a IA associou a este produto demandado),,,,,Argamassa Quartzolit Cinza 20 Kg,,,Argam.Aciii Votorantim Cinza Flexivel 20Kg,,,Arg.Votoran Aciii Colante.Cinza 20Kg $,,,Aciii Arg. Assent. Super Cinza,,
Raciocinio usado pela IA para associar este produto demandado com este produto oferecido,,,,,"A associação foi feita com base na semelhança da cor ('Cinza'), apresentação ('20 kg'), quantidade (800 unidades) e tipo de produto ('Argamassa').",,,"A associação foi feita pela alta similaridade nas especificações: tipo de produto ('ARGAMASSA COLANTE' vs 'ARGAM.ACIII'), referência ('ACIII'), cor ('CINZA') e apresentação ('20KG'). A quantidade ofertada (2000 SC) é diferente da demandada (800 SC).",,,"A associação foi feita com base na alta semelhança (71%) entre as especificações. O produto oferecido 'ARG.VOTORAN ACIII COLANTE.CINZA 20KG' corresponde ao demandado 'ARGAMASSA COLANTE', referência 'ACIII', cor 'CINZA' e apresentação '20 KG'. Apenas o fabricante ('VOTORAN' vs 'CONSTRUCOLA') e a quantidade (4800 vs 800) são diferentes.",,,"A associação foi feita com base na correspondência da quantidade (800), referência (ACIII), cor (CINZA) e tipo de produto (ARGAMASSA COLANTE). A única divergência foi o fabricante (ofertado MINERCOLA vs. solicitado CONSTRUCOLA).",,
Semelhança entre o produto demandado e o produto oferecido,,,,,67%,,,80%,,,71%,,,71%,,
Quantidade demandada na requisicao de compra,,,,,800,,,800,,,800,,,800,,
Quantidade oferecida na proposta,,,,,800.0,,,2000.0,,,4800.0,,,800.0,,
Unidade da quantidade demandada na requisicao de compra,,,,,SC,,,SC,,,SC,,,SC,,
Unidade da quantidade oferecida na proposta,,,,,,,,,,,,,,,,
Preço unitario oferecido na proposta,,,,,48.45,,,54.9,,,43.4,,,33.0,,
Posição em que o produto aparece na proposta,,,,,2,,,2,,,1,,,2,,
,,,,,,,,,,,,,,,,
